Код_товару;Назва_позиції;Назва_позиції_укр;Пошукові_запити;Пошукові_запити_укр
20776;Замок электромагнитный МS-280 LED(300 кг);Замок електромагнітний МS-280 LED(300 кг);;
20777;Електромеханічний замок ATIS Lock SSM;Електромеханічний замок ATIS Lock SSM;;
20778;Кодовая клавиатура Atis AK-601P;Кодова клавіатура Atis AK-601P;;
20779;Контроллер со считывателем ATIS ACPR-05 EM;Контролер зі зчитувачем ATIS ACPR-05 EM;;
20780;Гибкий переход 50см;Гнучкий перехід 50см;;
20781;"Брелок ключ с кодом Mifare 1K  13,56 MHz";"Брелок ключ з кодом Mifare 1K  13,56 MHz";;
20782;Брелок ключ 4100 с кодом Em-Marine 125 KHz;Брелок ключ 4100 з кодом Em-Marine 125 KHz;;
20783;Брелок ключ с кодом Визит New Em-Marine 125 KHz;Брелок ключ з кодом Візит New Em-Marine 125 KHz;;
20784;Брелок-заготовка Т5577NEW для копирования Em-Marine 125 KHz;Брелок-заготівка Т5577NEW для копіювання Em-Marine 125 KHz;;
20785;Proximity карта 4100 с кодом Em-Marine 125 KHz;Proximity картка 4100 з кодом Em-Marine 125 KHz;;
20786;"Брелок-заготовка ZERO для копирования Mifare 1K 13,56 МГц";"Брелок-заготівка ZERO для копіювання  Mifare 1K  13,56 MHz";;
20787;Proximity карта-заготовка Т5577 для копирования Em-Marine 125 KHz;Proximity карта-заготівка Т5577 для копіювання Em-Marine 125 KHz;;
20788;Ключ-заготовка RW 1990 для копирования;Ключ-заготівка RW 1990 для копіювання;;
20789;Відеодомофон NeoLight TETTA;Відеодомофон NeoLight TETTA;;
20790;Відеодомофон NeoLight KAPPA HD;Відеодомофон NeoLight KAPPA HD;;
20791;Виклична панель NeoLight PRIME FHD Black;Виклична панель NeoLight PRIME FHD Black;;
20792;Виклична панель NeoLight SOLO FHD Graphite IP66;Виклична панель NeoLight SOLO FHD Graphite IP66;;
20793;Виклична панель NeoLight SOLO;Виклична панель NeoLight SOLO;;
