supplier_name_substring;supplier_attribute;supplier_value_pattern;pattern_type;prom_attribute;prom_attribute_unit_template;prom_value_template;priority;is_active;category_id;rule_kind;notes
;Живлення від PoE-in;.*802\.3at.*;regex;Заживлення від портів (PoE на виході);;Так;33;TRUE;71903;attribute;PoE-in 802.3at
;Живлення від PoE-in;.*Passive.*;regex;Заживлення від портів (PoE на виході);;Так;34;TRUE;71903;attribute;Passive PoE-in
(?i).*\bстійк[аіу].*;;;regex;Можливість монтажу в стійку;;Так;35;TRUE;71903;extract;Монтаж у стійку з назви
(?i).*\bRM\b.*;;;regex;Можливість монтажу в стійку;;Так;36;TRUE;71903;extract;RM - rack mount
(?i).*\bрек.*;;;regex;Можливість монтажу в стійку;;Так;37;TRUE;71903;extract;Рековий монтаж
;Розміри;440.*мм;regex;Можливість монтажу в стійку;;Так;38;TRUE;71903;attribute;Розмір 440мм (19")
;Розміри;443.*мм;regex;Можливість монтажу в стійку;;Так;39;TRUE;71903;attribute;Розмір 443мм (19")
(?i).*\bнастільн.*;;;regex;Форм-фактор;;Настільний;40;TRUE;71903;extract;Настільний з назви
(?i).*\bнавісн.*;;;regex;Форм-фактор;;Навісний;41;TRUE;71903;extract;Навісний з назви
(?i).*\bзовнішн.*;;;regex;Форм-фактор;;Зовнішній;42;TRUE;71903;extract;Зовнішній з назви
;Мережеві стандарти;.*802\.11a.*;regex;Стандарт бездротового зв'язку;;802.11a;43;TRUE;71903;attribute;WiFi 802.11a
;Мережеві стандарти;.*802\.11b.*;regex;Стандарт бездротового зв'язку;;802.11b;44;TRUE;71903;attribute;WiFi 802.11b
;Мережеві стандарти;.*802\.11g.*;regex;Стандарт бездротового зв'язку;;802.11g;45;TRUE;71903;attribute;WiFi 802.11g
;Мережеві стандарти;.*802\.11n.*;regex;Стандарт бездротового зв'язку;;802.11n;46;TRUE;71903;attribute;WiFi 802.11n
;Мережеві стандарти;.*802\.11ac.*;regex;Стандарт бездротового зв'язку;;802.11ac;47;TRUE;71903;attribute;WiFi 802.11ac
;Мережеві стандарти;.*802\.11ax.*;regex;Стандарт бездротового зв'язку;;802.11ax;48;TRUE;71903;attribute;WiFi 802.11ax
;Операційна система;.*WiFi.*;regex;Стандарт бездротового зв'язку;;802.11n;49;TRUE;71903;attribute;WiFi загальний
;Додатково;.*корпус\s+(?:метал|пластик).*;regex;Колір;;Сірий;50;TRUE;71903;attribute;Колір корпусу
