Код_товару;Назва_позиції;Назва_позиції_укр;Пошукові_запити;Пошукові_запити_укр
20773;Сирена SA 105;Сирена SA 105;"охранная сирена, звуковое оповещение, тревожные системы, высокая громкость, внутренняя установка, надежность";"охоронна сирена, звукове сповіщення, тривожні системи, висока гучність, внутрішнє встановлення, надійність"
20776;Замок электромагнитный МS-280 LED(300 кг);Замок електромагнітний МS-280 LED(300 кг);"электромагнитный замок, удержание 300 кг, контроль доступа, led индикация, системы безопасности, надежная фиксация";"електромагнітний замок, утримання 300 кг, контроль доступу, led індикація, системи безпеки, надійна фіксація"
20777;Електромеханічний замок ATIS Lock SSM;Електромеханічний замок ATIS Lock SSM;"электромеханический замок, контроль доступа, совместимость домофонов, надежная конструкция, системы безопасности";"електромеханічний замок, контроль доступу, сумісність домофонів, надійна конструкція, системи безпеки"
20703;Балун Приемник передатчик видеосигнала по UTP Balun;"Балун Приймач, передавач відеосигналу по UTP Balun";"приемопередатчик видеосигнала UTP, балун для камер, передача видео, системы видеонаблюдения, монтаж, подключение, оборудование, аналоговый сигнал, видеокамеры, кабель витая пара";"приймач передавач відеосигналу UTP, балун для камер, передача відео, системи відеоспостереження, монтаж, підключення, обладнання, аналоговий сигнал, відеокамери, кабель вита пара"
20778;Кодовая клавиатура Atis AK-601P;Кодова клавіатура Atis AK-601P;"кодовая клавиатура доступа, ввод pin кода, системы контроля, антивандальное исполнение, надежная работа";"кодова клавіатура доступу, введення pin коду, системи контролю, антивандальне виконання, надійна робота"
20781;"Брелок ключ с кодом Mifare 1K  13,56 MHz";"Брелок ключ з кодом Mifare 1K  13,56 MHz";"rfid брелок mifare, бесконтактный ключ доступа, частота 13.56 mhz, контроль прохода, системы безопасности";"rfid брелок mifare, безконтактний ключ доступу, частота 13.56 mhz, контроль проходу, системи безпеки"
20782;Брелок ключ 4100 с кодом Em-Marine 125 KHz;Брелок ключ 4100 з кодом Em-Marine 125 KHz;"rfid брелок em marine, идентификатор доступа, частота 125 khz, домофонные системы, контроль входа";"rfid брелок em marine, ідентифікатор доступу, частота 125 khz, домофонні системи, контроль входу"
20783;Брелок ключ с кодом Визит New Em-Marine 125 KHz;Брелок ключ з кодом Візит New Em-Marine 125 KHz;"брелок em marine визит, совместимость домофонов, электронный ключ, частота 125 khz, контроль доступа";"брелок em marine візит, сумісність домофонів, електронний ключ, частота 125 khz, контроль доступу"
20784;Брелок-заготовка Т5577NEW для копирования Em-Marine 125 KHz;Брелок-заготівка Т5577NEW для копіювання Em-Marine 125 KHz;"перезаписываемый брелок t5577, копирование rfid ключей, частота 125 khz, сервисные работы, доступ системы";"перезаписуваний брелок t5577, копіювання rfid ключів, частота 125 khz, сервісні роботи, доступ систем"
20785;Proximity карта 4100 с кодом Em-Marine 125 KHz;Proximity картка 4100 з кодом Em-Marine 125 KHz;"proximity карта em marine, бесконтактная идентификация, частота 125 khz, системы контроля, офисный доступ";"proximity картка em marine, безконтактна ідентифікація, частота 125 khz, системи контролю, офісний доступ"
20786;"Брелок-заготовка ZERO для копирования Mifare 1K 13,56 МГц";"Брелок-заготівка ZERO для копіювання  Mifare 1K  13,56 MHz";"rfid брелок mifare zero, заготовка для копирования, частота 13.56 mhz, сервис домофонов, контроль входа";"rfid брелок mifare zero, заготовка для копіювання, частота 13.56 mhz, сервіс домофонів, контроль входу"
20787;Proximity карта-заготовка Т5577 для копирования Em-Marine 125 KHz;Proximity карта-заготівка Т5577 для копіювання Em-Marine 125 KHz;"proximity карта t5577, заготовка em marine, копирование ключей, частота 125 khz, системы доступа";"proximity картка t5577, заготовка em marine, копіювання ключів, частота 125 khz, системи доступу"
20788;Ключ-заготовка RW 1990 для копирования;Ключ-заготівка RW 1990 для копіювання;"rw1990 ключ заготовка, копирование домофонных ключей, сервисный доступ, системы контроля, универсальный формат";"rw1990 ключ заготовка, копіювання домофонних ключів, сервісний доступ, системи контролю, універсальний формат"
20779;Контроллер со считывателем ATIS ACPR-05 EM;Контролер зі зчитувачем ATIS ACPR-05 EM;"контроллер доступа em marine, встроенный считыватель карт, система контроля входа, автономная работа, охранные решения";"контролер доступу em marine, вбудований зчитувач карток, система контролю входу, автономна робота, охоронні рішення"
100;Установка видеоняни EZVIZ для наблюдения за детьми с функцией обнаружения плача;Встановлення відеоняні EZVIZ для нагляду за дітьми з функцією виявлення плачу;"монтаж, установка, проектирование, обслуживание, видеоняня, радионяня, EZVIZ, CS-BM1, камера, ребенок, плач, аккумулятор, ночное, наблюдение";"монтаж, встановлення, проєктування, обслуговування, відеоняня, радіоняня, EZVIZ, CS-BM1, камера, дитина, плач, акумулятор, нічне, спостереження"
101;Установка видеонаблюдения Dahua за домом;Встановлення відеоспостереження Dahua за будинком;"установка, видеонаблюдение, дом, Dahua, камера, улица, система, запись, ночное, доступ, безопасность, WizSense, монтаж, обслуживание";"встановлення, відеоспостереження, будинок, Dahua, камера, вулиця, система, запис, нічне, доступ, безпека, WizSense, монтаж, обслуговування"
102;Монтаж видеонаблюдения Hikvision в офисе;Монтаж відеонагляду Hikvision в офісі;"монтаж, видеонаблюдение, офис, Hikvision, камера, микрофон, звук, запись, AcuSense, система, контроль, безопасность, установка, обслуживание";"монтаж, відеоспостереження, офіс, Hikvision, камера, мікрофон, звук, запис, AcuSense, система, контроль, безпека, встановлення, обслуговування"
103;Установка видеонаблюдения в магазине с контролем кассовых операций;Встановлення відеоспостереження в магазині з контролем касових операцій;"установка, видеонаблюдение, магазин, касса, контроль, чек, Dahua, PTZ, камера, запись, система, безопасность, аналитика, монтаж";"встановлення, відеоспостереження, магазин, каса, контроль, чек, Dahua, PTZ, камера, запис, система, безпека, аналітика, монтаж"
104;Установка видеонаблюдения на автостоянке;Встановлення відеоспостереження на автостоянці;"видеонаблюдение, автостоянка, парковка, камера, номер, въезд, выезд, Dahua, запись, система, безопасность, ночь, монтаж, установка";"відеоспостереження, автостоянка, парковка, камера, номер, вʼїзд, виїзд, Dahua, запис, система, безпека, ніч, монтаж, встановлення"
105;Установка IP-видеонаблюдения в супермаркете;Встановлення IP-відеоспостереження в супермаркеті;"IP, видеонаблюдение, супермаркет, камера, PoE, Dahua, NVR, PTZ, аналитика, запись, система, контроль, безопасность, монтаж";"IP, відеоспостереження, супермаркет, камера, PoE, Dahua, NVR, PTZ, аналітика, запис, система, контроль, безпека, монтаж"
106;Установка wi-fi видеонаблюдения;Установка wi-fi відеоспостереження;"установка, wi-fi, видеонаблюдение, камера, беспроводное, IP, Dahua, настройка, подключение, сервис, обслуживание, монтаж, доступ, запись";"встановлення, wi-fi, відеоспостереження, камера, бездротове, IP, Dahua, налаштування, підключення, сервіс, обслуговування, монтаж, доступ, запис"
107;Установка системы распознавания автомобильных номеров;Встановлення системи розпізнавання автомобільних номерів;"установка, система, распознавание, номера, автомобиль, ANPR, камера, Hikvision, NVR, PoE, контроль, въезд, безопасность, монтаж, настройка";"встановлення, система, розпізнавання, номери, автомобіль, ANPR, камера, Hikvision, NVR, PoE, контроль, вʼїзд, безпека, монтаж, налаштування"
108;Установка видеонаблюдения на предприятии;Встановлення відеоспостереження на підприємстві;"установка, видеонаблюдение, предприятие, IP, HDCVI, Dahua, регистратор, камеры, WizSense, контроль, безопасность, архив, монтаж, подключение";"встановлення, відеоспостереження, підприємство, IP, HDCVI, Dahua, реєстратор, камери, WizSense, контроль, безпека, архів, монтаж, підключення"
109;Установка тепловизора Hikvision для обнаружения лиц с повышенной температурой;Встановлення тепловізора Hikvision для виявлення осіб з підвищеною температурою;"установка, тепловизор, Hikvision, температура, контроль, обнаружение, лица, безопасность, бесконтактный, камера, мониторинг, монтаж, настройка";"встановлення, тепловізор, Hikvision, температура, контроль, виявлення, обличчя, безпека, безконтактний, камера, моніторинг, монтаж, налаштування"
110;Установка видеосистемы подсчёта людей;Встановлення відеосистеми підрахунку людей;"установка, видеосистема, подсчет, люди, аналитика, поток, камера, AI, бизнес, статистика, контроль, мониторинг, монтаж, настройка";"встановлення, відеосистема, підрахунок, люди, аналітика, потік, камера, AI, бізнес, статистика, контроль, моніторинг, монтаж, налаштування"
111;Установка IP-видеокамеры Dahua с функцией записи в подъезде;Встановлення IP-відеокамери Dahua з функцією запису в під'їзді;"установка, IP, видеокамера, Dahua, подъезд, запись, Wi-Fi, дом, контроль, безопасность, удаленный, доступ, монтаж, настройка";"встановлення, IP, відеокамера, Dahua, підʼїзд, запис, Wi-Fi, будинок, контроль, безпека, віддалений, доступ, монтаж, налаштування"
202;Установка видеодомофона;Установка відеодомофону;"установка, видеодомофон, дом, квартира, панель, монитор, связь, контроль, доступ, безопасность, монтаж, подключение";"встановлення, відеодомофон, будинок, квартира, панель, монітор, звʼязок, контроль, доступ, безпека, монтаж, підключення"
203;Установка комплекта видеодомофона ARNY AVD-7006;Встановлення комплекту відеодомофона ARNY AVD-7006;"установка, видеодомофон, ARNY, AVD-7006, комплект, монитор, панель, доступ, безопасность, монтаж, настройка";"встановлення, відеодомофон, ARNY, AVD-7006, комплект, монітор, панель, доступ, безпека, монтаж, налаштування"
204;Установка  видеодомофона ARNY;Встановлення  відеодомофона ARNY;"установка, видеодомофон, ARNY, AVD-4005, комплект, панель, монитор, контроль, доступ, безопасность, монтаж";"встановлення, відеодомофон, ARNY, AVD-4005, комплект, панель, монітор, контроль, доступ, безпека, монтаж"
205;Монтаж комплекта видеодомофона NeoLight ALPHA Hybrid HD KIT SD 128Gb;Монтаж комплекту відеодомофона NeoLight ALPHA Hybrid HD KIT SD 128Gb;"монтаж, установка, комплект, видеодомофон, NeoLight, ALPHA, Hybrid, HD, KIT, SD, 128Gb, подключение, настройка, сервис, обслуживание";"монтаж, встановлення, комплект, відеодомофон, NeoLight, ALPHA, Hybrid, HD, KIT, SD, 128Gb, підключення, налаштування, сервіс, обслуговування"
206;Установка домофона Neolight HD с записью по движению;Установка домофону Neolight HD із записом за рухом;"установка, домофон, Neolight, HD, запись, движение, монтаж, подключение, настройка, сервис, обслуживание";"встановлення, домофон, Neolight, HD, запис, рух, монтаж, підключення, налаштування, сервіс, обслуговування"
207;Установка комплекта видеодомофона NeoLight Mezzo HD WF и Prime FHD SD 128Gb;Встановлення комплекту відеодомофона NeoLight Mezzo HD WF та Prime FHD 128Gb;"установка, комплект, видеодомофон, NeoLight, Mezzo, HD, WF, Prime, FHD, 128Gb, Wi-Fi, монтаж, подключение, настройка, сервис";"встановлення, комплект, відеодомофон, NeoLight, Mezzo, HD, WF, Prime, FHD, 128Gb, Wi-Fi, монтаж, підключення, налаштування, сервіс"
208;Установка ip домофона Dahua DHI-VTH5341G-W та DHI-VTO2311R-WP;Установка ip домофону Dahua DHI-VTH5341G-W та DHI-VTO2311R-WP;"установка, IP, домофон, Dahua, DHI-VTH5341G-W, DHI-VTO2311R-WP, Wi-Fi, PoE, монтаж, подключение, настройка, сервис";"встановлення, IP, домофон, Dahua, DHI-VTH5341G-W, DHI-VTO2311R-WP, Wi-Fi, PoE, монтаж, підключення, налаштування, сервіс"
209;Установка ip домофона Hikvision DS-KH6350-TE1 та DS-KV6103-PE1C;Установка ip домофону Hikvision DS-KH6350-TE1 та DS-KV6103-PE1C;"установка, IP, домофон, Hikvision, DS-KH6350-TE1, DS-KV6103-PE1C, PoE, монтаж, подключение, настройка, сервис";"встановлення, IP, домофон, Hikvision, DS-KH6350-TE1, DS-KV6103-PE1C, PoE, монтаж, підключення, налаштування, сервіс"
301;Установка сигнализации Лунь в доме;Установка сигналізації Лунь у будинку;"установка, сигнализация, Лунь, дом, охрана, пожарная, система, датчики, движение, окна, двери, сирена, смартфон, пульт, монтаж, настройка, обслуживание";"встановлення, сигналізація, Лунь, будинок, охорона, пожежна, система, датчики, рух, вікна, двері, сирена, смартфон, пульт, монтаж, налаштування, обслуговування"
302;Установка системы охраны периметра Tecsar Alert;Встановлення системи охорони периметра Tecsar Alert;"установка, охрана, периметр, Tecsar, Alert, система, участок, ИК, барьер, сирена, Ajax, контроль, защита, монтаж, настройка, обслуживание";"встановлення, охорона, периметр, Tecsar, Alert, система, ділянка, ІЧ, барʼєр, сирена, Ajax, контроль, захист, монтаж, налаштування, обслуговування"
303;Установка сигнализации Лунь в квартире;Установка сигналізації Лунь у квартирі;"установка, сигнализация, Лунь, квартира, охрана, система, датчики, движение, открытие, сирена, смартфон, пульт, монтаж, настройка, обслуживание";"встановлення, сигналізація, Лунь, квартира, охорона, система, датчики, рух, відкриття, сирена, смартфон, пульт, монтаж, налаштування, обслуговування"
304;"Установка сигнализации Ajax в квартире,  доме, офисе";"Установка сигналізації Ajax у квартирі, будинку, офісі";"установка, сигнализация, Ajax, квартира, дом, офис, беспроводная, охрана, система, датчики, движение, открытие, смартфон, монтаж, настройка, обслуживание";"встановлення, сигналізація, Ajax, квартира, будинок, офіс, бездротова, охорона, система, датчики, рух, відкриття, смартфон, монтаж, налаштування, обслуговування"
305;Установка сигнализации Ajax на даче;Установка сигналізації Ajax на дачі;"установка, сигнализация, Ajax, дача, дом, коттедж, охрана, беспроводная, система, датчики, пожар, затопление, сирена, смартфон, монтаж, настройка";"встановлення, сигналізація, Ajax, дача, будинок, котедж, охорона, бездротова, система, датчики, пожежа, затоплення, сирена, смартфон, монтаж, налаштування"
306;Установка пожарной сигнализации Тірас;Встановлення пожежної сигналізації Тірас;"установка, монтаж, пожарная, сигнализация, Тірас, проектирование, согласование, обслуживание, подключение, настройка, офис, безопасность";"встановлення, монтаж, пожежна, сигналізація, Тірас, проєктування, узгодження, обслуговування, підключення, налаштування, офіс, безпека"
307;Установка сигнализации Ajax со сценариями автоматизации;Установка сигналізації Ajax зі сценаріями автоматизації;"установка, сигнализация, Ajax, автоматизация, сценарии, монтаж, подключение, настройка, обслуживание, безопасность, управление, смартфон";"встановлення, сигналізація, Ajax, автоматизація, сценарії, монтаж, підключення, налаштування, обслуговування, безпека, керування, смартфон"
401;Установка систем контроля доступа Seven с электромеханическим замком Atis;Встановлення систем контролю доступу Seven з електромеханічним замком Atis;"установка, контроль, доступ, Seven, электромеханический, замок, Atis, монтаж, подключение, настройка, обслуживание, офис";"встановлення, контроль, доступу, Seven, електромеханічний, замок, Atis, монтаж, підключення, налаштування, обслуговування, офіс"
402;Установка контроля доступа Seven c домофоном ARNY и  электромагнитным замком;Встановлення контролю доступу Seven з домофоном ARNY і електромагнітним замком;"установка, контроль, доступ, Seven, домофон, ARNY, электромагнитный, замок, монтаж, подключение, настройка, безопасность";"встановлення, контроль, доступу, Seven, домофон, ARNY, електромагнітний, замок, монтаж, підключення, налаштування, безпека"
403;Установка системы учета рабочего времени U-Prox на 2 точки прохода (400 сотрудников);Встановлення системи обліку робочого часу U-Prox на 2 точки проходу (400 співробітників);"установка, учет, рабочего, времени, U-Prox, контроль, доступ, монтаж, подключение, настройка, обслуживание, предприятие";"встановлення, облік, робочого, часу, U-Prox, контроль, доступу, монтаж, підключення, налаштування, обслуговування, підприємство"
404;Установка системы учета рабочего времени на 1 точку прохода (80 сотрудников);Встановлення системи обліку робочого часу на 1 точку проходу (80 співробітників);"учет рабочего времени, контроль доступа, системы доступа, контроль персонала, электронные пропуска, монтаж, настройка, подключение, сервис, обслуживание, офис, предприятие";"облік робочого часу, контроль доступу, системи доступу, контроль персоналу, електронні пропуски, монтаж, налаштування, підключення, сервіс, обслуговування, офіс, підприємство"
801;Ремонт домофонов;Ремонт домофонів;"ремонт домофонов, обслуживание домофонов, подключение домофона, настройка домофона, сервисный ремонт, выезд мастера, диагностика, замена комплектующих, гарантия, сервис";"ремонт домофонів, обслуговування домофонів, підключення домофона, налаштування домофона, сервісний ремонт, виїзд майстра, діагностика, заміна комплектуючих, гарантія, сервіс"
802;Ремонт видеонаблюдения;Ремонт відеоспостереження;"ремонт видеонаблюдения, обслуживание видеосистем, ремонт камер, ремонт видеорегистратора, настройка видеонаблюдения, подключение камер, диагностика, сервисный центр, гарантия, сервис";"ремонт відеоспостереження, обслуговування відеосистем, ремонт камер, ремонт відеореєстратора, налаштування відеоспостереження, підключення камер, діагностика, сервісний центр, гарантія, сервіс"
803;Ремонт систем контроля доступа;Ремонт систем контролю доступу;"ремонт систем контроля доступа, обслуживание скуд, ремонт электрозамков, ремонт домофонов, настройка скуд, подключение оборудования, диагностика, сервисный ремонт, гарантия, сервис";"ремонт систем контролю доступу, обслуговування скуд, ремонт електрозамків, ремонт домофонів, налаштування скуд, підключення обладнання, діагностика, сервісний ремонт, гарантія, сервіс"
20770;Датчик дыма СПД 3.2;Датчик диму СПД 3.2;"датчик дыма, пожарная сигнализация, оптический сенсор, раннее обнаружение, системы безопасности, автономная работа";"датчик диму, пожежна сигналізація, оптичний сенсор, раннє виявлення, системи безпеки, автономна робота"
20771;Датчик открытия магнитоконтакт СОМК 1-8;Датчик відкриття магнитоконтакт СЗМК 1-8;"датчик открытия двери, магнитоконтактный сенсор, охранные системы, контроль доступа, надежная фиксация";"датчик відкриття дверей, магнітоконтактний сенсор, охоронні системи, контроль доступу, надійна фіксація"
20772;Датчик комбинированный движения и разбития стекла   SWAN PGB;Комбінований Датчик руху та розбиття скла SWAN PGB;"комбинированный датчик охраны, обнаружение движения, контроль разбития стекла, защита помещений, сигнализация";"комбінований датчик охорони, виявлення руху, контроль розбиття скла, захист приміщень, сигналізація"
20774;Датчик движения SWAN QUAD;Датчик руху SWAN QUAD;"датчик движения, инфракрасный сенсор, охранные системы, контроль помещения, стабильная работа, сигнализация";"датчик руху, інфрачервоний сенсор, охоронні системи, контроль приміщення, стабільна робота, сигналізація"
20775;Датчик открытия магнитоконтакт ЭСМК-1;Датчик відкриття магнітоконтакт ЭСМК-1;"датчик открытия окон, магнитоконтактный механизм, системы охраны, защита периметра, надежное срабатывание";"датчик відкриття вікон, магнітоконтактний механізм, системи охорони, захист периметра, надійне спрацювання"
20721;Усилитель  т2 сигнала Eurosky 99999 до 100км  с блоком питания регулируемым;Підсилювач т2 Eurosky 99999 сигналу до 100км з блоком живлення регульованим;"усилитель т2 сигнала, eurosky 99999, эфирное телевидение, дальний прием, регулировка усиления, блок питания";"підсилювач т2 сигналу, eurosky 99999, ефірне телебачення, далекий прийом, регулювання підсилення, блок живлення"
20724;Блок питания Eurosky регулируемый для усилителей swa  т2 сигнала;Блок живлення Eurosky регульований для підсилювачів swa т2 сигналу;"блок питания регулируемый, eurosky, усилители swa, т2 сигнал, настройка напряжения, стабильная работа";"блок живлення регульований, eurosky, підсилювачі swa, т2 сигнал, налаштування напруги, стабільна робота"
20725;Усилитель  т2 сигнала Eurosky 99999 до 100км;Підсилювач т2 сигналу Eurosky 99999 до 100км;"усилитель т2 сигнала, eurosky 99999, эфирная антенна, дальность приема, стабильный сигнал, телевидение";"підсилювач т2 сигналу, eurosky 99999, ефірна антена, дальність прийому, стабільний сигнал, телебачення"
20767;Усилитель ТВ-разводки Bi-Zone BI-330;Підсилювач ТВ-розводки Bi-Zone BI-330;"усилитель телевизионного сигнала, распределение тв каналов, стабильный прием, домашние системы, пассивные антенны";"підсилювач телевізійного сигналу, розподіл тв каналів, стабільний прийом, домашні системи, пасивні антени"
20765;Адаптер  Wi-Fi usb adapter чипсет 7601 с антенной 3дБ;Адаптер Wi-Fi usb adapter чіпсет 7601 з антеною 3дБ;"usb wifi адаптер, чипсет mt7601, внешняя антенна, стабильный сигнал, android приставки, сетевое подключение";"usb wifi адаптер, чипсет mt7601, зовнішня антена, стабільний сигнал, android приставки, мережеве підключення"
20766;Адаптер  Wi-Fi  usb adapter чипсет 7601 с антенной 5дБ;Адаптер Wi-Fi usb adapter чіпсет 7601 з антеною 5дБ;"usb wifi адаптер, усиленная антенна, чипсет mt7601, стабильное соединение, тв приставки, высокая чувствительность";"usb wifi адаптер, посилена антена, чипсет mt7601, стабільне зʼєднання, тв приставки, висока чутливість"
20722;Инжектор питания  5V USB для активной антенны;Інжектор живлення 5V USB для активної антени;"инжектор питания 5v, активная антенна, подача напряжения, usb подключение, т2 телевидение, стабильная работа";"інжектор живлення 5v, активна антена, подача напруги, usb підключення, т2 телебачення, стабільна робота"
20753;Комнатная антенна т2 ES-008 Omega с усилителем до 10 км прямой видимости;Кімнатна антена т2 ES-008 Omega з підсилювачем до 10 км прямої видимості;"комнатная т2 антенна, встроенный усилитель, прием эфирного сигнала, компактная установка, стабильное изображение";"кімнатна т2 антена, вбудований підсилювач, прийом ефірного сигналу, компактне встановлення, стабільне зображення"
20754;Комнатная антенна т2  EMA-14  с усилителем до 15 км прямой видимости;Кімнатна антена т2  EMA-14 з підсилювачем до 15 км прямої видимості;"комнатная т2 антенна, активный усилитель, dvb t2 сигнал, уверенный прием, компактный корпус, простая установка";"кімнатна т2 антена, активний підсилювач, dvb t2 сигнал, впевнений прийом, компактний корпус, просте встановлення"
20755;Комнатная антенна т2  Eurosky ES-001 с усилителем до 20 км прямой видимости;Кімнатна антена т2 Eurosky ES-001 з підсилювачем до 20 км прямої видимості;"комнатная т2 антенна, усиленный прием, dvb t2 телевидение, стабильный сигнал, современный дизайн, подключение";"кімнатна т2 антена, посилений прийом, dvb t2 телебачення, стабільний сигнал, сучасний дизайн, підключення"
20756;Наружная антенна  т2 Eurosky Favorit  с усилителем до 55 км прямой видимости;Зовнішня антена т2 Eurosky Favorit з підсилювачем до 55 км прямої видимості;"наружная т2 антенна, усилитель сигнала, dvb t2 прием, дальняя видимость, уличная установка, надежная конструкция";"зовнішня т2 антена, підсилювач сигналу, dvb t2 прийом, далека видимість, вуличне встановлення, надійна конструкція"
20757;Наружная антенна т2 Eurosky МИР-19 до 55 км прямой видимости;Зовнішня антена т2 Eurosky СВІТ-19 до 55 км прямої видимості;"наружная т2 антенна, пассивный прием, dvb t2 сигнал, уличный монтаж, стабильное качество, прочная конструкция";"зовнішня т2 антена, пасивний прийом, dvb t2 сигнал, вуличний монтаж, стабільна якість, міцна конструкція"
20758;Наружная антенна т2 Eurosky МИР-19 с усилителем до 100 км прямой видимости;Зовнішня антена т2 Eurosky СВІТ-19 з підсилювачем до 100 км прямої видимості;"наружная т2 антенна, активный усилитель, dvb t2 прием, максимальная дальность, уличное размещение, стабильность";"зовнішня т2 антена, активний підсилювач, dvb t2 прийом, максимальна дальність, вуличне розміщення, стабільність"
20759;Аккумулятор 12В 7А/ч Ritar;Акумулятор 12 В 7А/г Ritar;"герметичный аккумулятор, 12 вольт, резервное питание, охранные системы, видеонаблюдение, стабильная емкость";"герметичний акумулятор, 12 вольт, резервне живлення, охоронні системи, відеоспостереження, стабільна ємність"
20760;Аккумулятор 12В 18А/ч Ritar;Акумулятор 12В 18А/ч Ritar;"герметичный аккумулятор, 12 вольт, увеличенная емкость, резервное питание, системы безопасности, надежная работа";"герметичний акумулятор, 12 вольт, збільшена ємність, резервне живлення, системи безпеки, надійна робота"
20761;"Аккумулятор 12В 2,2А/ч Full Energy";"Акумулятор 12В 2,2А/ч Full Energy";"компактный аккумулятор, 12 вольт, резервное питание, электроника, охранные системы, стабильное напряжение";"компактний акумулятор, 12 вольт, резервне живлення, електроніка, охоронні системи, стабільна напруга"
20739;Спутниковый тюнер Openbox S3 Mini II HD прошитый с каналами;Супутниковий тюнер Openbox S3 Mini II HD прошитий з каналами;"спутниковый ресивер, цифровое телевидение, hd качество, готовые каналы, подключение антенны, настройка, оборудование";"супутниковий ресивер, цифрове телебачення, hd якість, готові канали, підключення антени, налаштування, обладнання"
20740;Спутниковый тюнер Sat-Integral S-1228 HD прошитый с каналами;Супутниковий тюнер Sat-Integral S-1228 HD  прошитий   з каналами;"спутниковый ресивер, цифровое телевидение, hd сигнал, прошивка, стабильная работа, подключение антенны, оборудование";"супутниковий ресивер, цифрове телебачення, hd сигнал, прошивка, стабільна робота, підключення антени, обладнання"
